09:24:19:734,MESSAGE,Transfer Start Hole Item datas...
09:24:20:124,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:25:52:118,EVENT,레시피 menu button clicked.
09:25:57:905,EVENT,Load file is RECIPE NAME
09:26:09:168,EVENT,Save recipe is C:\Users\NUVO-4022\Desktop\경산공장\경산 250 125\경산 250 2.txt
09:26:10:385,EVENT,운전화면 menu button clicked.
09:26:34:643,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 2.rcp for Working
09:26:34:643,MESSAGE,Transfer Start Hole Item datas...
09:26:35:018,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:26:54:455,EVENT,Changed Apply All Marking is FALSE from TRUE
09:26:54:471,MESSAGE,Transfer Start Hole Item datas...
09:26:55:032,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:26:57:622,EVENT,Changed Apply All Marking is FALSE from TRUE
09:26:57:622,MESSAGE,Transfer Start Hole Item datas...
09:26:57:918,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:27:00:758,EVENT,Changed Apply All Marking is FALSE from TRUE
09:27:00:758,MESSAGE,Transfer Start Hole Item datas...
09:27:01:085,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:27:11:225,EVENT,Changed Apply All Marking is FALSE from TRUE
09:27:11:225,MESSAGE,Transfer Start Hole Item datas...
09:27:11:522,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:29:09:037,EVENT,레시피 menu button clicked.
09:29:24:231,EVENT,운전화면 menu button clicked.
09:29:40:268,EVENT,Changed Apply All Marking is FALSE from TRUE
09:29:40:268,MESSAGE,Transfer Start Hole Item datas...
09:29:40:861,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:29:41:625,EVENT,Changed Apply All Marking is FALSE from TRUE
09:29:41:625,MESSAGE,Transfer Start Hole Item datas...
09:29:42:078,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:31:38:313,MESSAGE,Transfer Start Hole Item datas...
09:31:38:594,MESSAGE,Transfer End Hole Item datas...[Hole count : 29]
09:36:41:047,MESSAGE,Transfer Start Hole Item datas...
09:36:41:344,MESSAGE,Transfer End Hole Item datas...[Hole count : 42]
09:54:22:629,EVENT,레시피 menu button clicked.
09:54:26:389,EVENT,Load file is RECIPE NAME
09:54:30:242,EVENT,Save recipe is C:\Users\NUVO-4022\Desktop\경산공장\경산 250 125\경산 250 3.txt
09:54:31:428,EVENT,운전화면 menu button clicked.
09:54:39:072,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 3.rcp for Working
09:54:39:087,MESSAGE,Transfer Start Hole Item datas...
09:54:39:399,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
09:54:43:970,EVENT,Changed Apply All Marking is FALSE from TRUE
09:54:43:970,MESSAGE,Transfer Start Hole Item datas...
09:54:44:267,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:06:938,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:06:938,MESSAGE,Transfer Start Hole Item datas...
10:00:07:234,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:08:201,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:08:201,MESSAGE,Transfer Start Hole Item datas...
10:00:08:560,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:09:558,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:09:558,MESSAGE,Transfer Start Hole Item datas...
10:00:10:011,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:12:117,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:12:117,MESSAGE,Transfer Start Hole Item datas...
10:00:12:694,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:19:121,EVENT,수동조정 menu button clicked.
10:00:21:524,EVENT,운전화면 menu button clicked.
10:00:23:130,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:23:130,MESSAGE,Transfer Start Hole Item datas...
10:00:23:411,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:00:27:389,EVENT,레시피 menu button clicked.
10:00:36:188,EVENT,운전화면 menu button clicked.
10:00:48:434,EVENT,Changed Apply All Marking is FALSE from TRUE
10:00:48:449,MESSAGE,Transfer Start Hole Item datas...
10:00:48:746,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:11:428,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 3.rcp for Working
10:01:11:428,MESSAGE,Transfer Start Hole Item datas...
10:01:11:927,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:13:940,EVENT,Changed Apply All Marking is FALSE from TRUE
10:01:13:955,MESSAGE,Transfer Start Hole Item datas...
10:01:14:486,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:15:687,EVENT,Changed Apply All Marking is FALSE from TRUE
10:01:15:702,MESSAGE,Transfer Start Hole Item datas...
10:01:16:077,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:17:434,EVENT,Changed Apply All Marking is FALSE from TRUE
10:01:17:434,MESSAGE,Transfer Start Hole Item datas...
10:01:17:730,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:31:349,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 4.rcp for Working
10:01:31:365,MESSAGE,Transfer Start Hole Item datas...
10:01:31:646,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:34:641,EVENT,Changed Apply All Marking is FALSE from TRUE
10:01:34:641,MESSAGE,Transfer Start Hole Item datas...
10:01:34:937,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:44:032,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 3.rcp for Working
10:01:44:048,MESSAGE,Transfer Start Hole Item datas...
10:01:44:344,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:01:50:569,EVENT,Changed Apply All Marking is FALSE from TRUE
10:01:50:569,MESSAGE,Transfer Start Hole Item datas...
10:01:50:865,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:02:13:126,EVENT, menu button clicked.
10:03:12:407,EVENT,Changed Apply All Marking is FALSE from TRUE
10:03:12:407,MESSAGE,Transfer Start Hole Item datas...
10:03:12:906,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:03:14:497,EVENT,Changed Apply All Marking is FALSE from TRUE
10:03:14:497,MESSAGE,Transfer Start Hole Item datas...
10:03:14:949,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:03:21:018,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 3.rcp for Working
10:03:21:034,MESSAGE,Transfer Start Hole Item datas...
10:03:21:439,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:04:57:566,EVENT,Changed Apply All Marking is FALSE from TRUE
10:04:57:566,MESSAGE,Transfer Start Hole Item datas...
10:04:57:910,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:04:59:548,EVENT,Changed Apply All Marking is FALSE from TRUE
10:04:59:548,MESSAGE,Transfer Start Hole Item datas...
10:04:59:844,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:05:07:270,EVENT,Open recipe is D:\NEWRUN\recipe\경산 250 4.rcp for Working
10:05:07:270,MESSAGE,Transfer Start Hole Item datas...
10:05:07:613,MESSAGE,Transfer End Hole Item datas...[Hole count : 18]
10:05:12:215,EVENT,Changed Apply All Marking is FALSE from TRUE
